,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
,Екатерина,Таблетки для стиральной машины,394823876,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Когда последний раз вы открывали стиральную машину и чуть не упали в обморок от запаха?,"Я тоже не могла решить эту проблему. Иногда машинка даже ела один из носков, а иногда выдавала носок с дыркой после стирки. Пообщалась с знакомым инженером - оказалось, все из-за ржавчины, которая скапливается между барабаном и дверцей. Она грызет носки и отправляет их прямиком в слив. Но также он подсказал находку на вайлдбериз, которая давно в ходу у всех в их инженерной тусовке.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без хлора, 99% бактерий и грибков убивает, Можно использовать с септиком, Гипоаллергенный",🧼 Хочешь такую же чистую машинку? Артикул в описании!
,Екатерина,Таблетки для стиральной машины,394823876,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Стирала кофту как обычно, достала - а на ней пятна!","Представьте: я стираю любимую белую рубашку, а она выходит грязнее, чем была! Муж уже начал подозревать, что я делаю что-то не так, а дело было в стиральной машине. Посоветовалась с подругой, она подсказала мне эту находку на вайлдбериз, и теперь все вещи белее снега, а муж меньше ворчит! Заказала сразу же, и не пожалела!","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без фосфатов, Устраняет накипь, Гипоаллергенный, Можно использовать с септиком",💥 Спасла машинку — спасёшь и свою. Артикул внизу!
,Екатерина,Таблетки для стиральной машины,394823876,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Вы бы поверили, что в вашей машине живёт настоящий «зверь» — плесень?","Когда я впервые почистила стиралку этими таблетками, то чуть не упала в обморок от запаха. Оказалось, там столько плесени и ржавчины! А муж только посмеялся и сказал: «Вот видишь, надо было раньше заботиться о машинке». Так я и начала этот «ритуал» очищения, который теперь не пропускаю. История с этими таблетками — как борьба с невидимым врагом в моём доме.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","99% бактерий и грибков убивает, Без хлора, Продлевает срок службы техники, Устраняет запах, Гипоаллергенный",📦 Заказала по артикулу в описании — не пожалела ни разу!
,Екатерина,Таблетки для стиральной машины,394823876,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Представьте, что ваша стиральная машина — это бомба замедленного действия...","Мой муж как-то пошутил, что в нашей стиралке скоро взрыв будет, если ничего не делать. Я, конечно, не сразу поверила, но когда запах и шум усилились, решила действовать. Купила таблетки, и они буквально спасли ситуацию. История началась с того, что я встретила на улице знакомую, которая рассказала, что у них уже взорвалось три стиралки, пока она не нашла эту удивительную находку на вайлдбериз","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без фосфатов, Без хлора, Устраняет накипь, Можно использовать с септиком, Продлевает срок службы техники",👇 Оставила артикул в описании — пусть и ваша техника скажет спасибо!
,Екатерина,Таблетки для стиральной машины,394823876,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Когда я узнала, что стиральная машина может быть причиной аллергии, у меня случился шок.","Мы с мужем долго мучались с кожными высыпаниями, пока не поняли, что дело в грязном барабане. Тогда я решила поискать решение. Советовалась с подругой, и особенно долгие разговоры вела с соседом. И вот однажды утром он снова зашел к нам в гости, и заявил, что у него есть решение - вот эта удивительная находка на вайлдбериз!","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, 99% бактерий и грибков убивает, Без фосфатов, Гипоаллергенный, Устраняет накипь",🫧 Секрет идеальной стирки — в этих таблетках. Артикул ищи под видео!
,Екатерина,Таблетки для стиральной машины,394823876,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,После стирки вещи пахнут как будто их давно не стирали? Это кошмар!,"Когда это произошло у меня впервые, я сразу подумала, что пора менять стиралку. Мой парикмахер вечно что-то советует необычное, и в этот раз, почувствовав запах стиральной машины от моей кофты, он подсказал мне свою недавнюю находку на вайлдбериз. Оказывается, у него была та же проблема, и все было из-за той плесени, которая скапливается под ободом стиральной машины.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без хлора, Можно использовать с септиком, Устраняет накипь, Продлевает срок службы техники, Без фосфатов",🔍 Забирай артикул в описании!
,Екатерина,Таблетки для стиральной машины,394823876,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Знаете, что в барабане вашей стиралки накапливается не только грязь, но и маленькие кусочки ткани?","Я была в шоке, когда после использования таблеток нашла кучу ворсинок и катышков в фильтре. Муж сначала думал, что это от меня, а оказалось, что  машина долго не чистилась. Муж пытался починить фильтр и чуть не вызвал потоп, но потом пришел сантехник и подсказал эту находку с вайлдбериз, которая решила проблему за одну стирку.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без хлора, 99% бактерий и грибков убивает, Можно использовать с септиком, Гипоаллергенный","💡 Тот самый артикул, который спас нашу машинку — снизу!"
1,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,«Мы чуть не расстались из-за мокрой ванной...»,"Всё началось, когда я поскользнулась и, орущая, влетела к мужу в комнату. Он подумал, что я на него напала. Мы поругались, он ушёл ночевать в машину. А на утро пришел вот с этой коробочкой с Вайлдберриз. Я думала, что там зонт, а оказалось — он... Все-таки, какой он заботливый!","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Под зубные щетки, Под обувь в прихожую, Защищает от воды, Легко сушить, Не скользит",Болльше ни каких скользких луж - артикулом делюсь в описании!
2,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,благодаря этому муж прекратил выгонять меня из кровати.,"Он вечно жаловался на мои мокрые ноги после душа. А потом я однажды вышла сухая. Он не поверил. Искал сушилку, фен, но ничего этого я не использовала. А я просто подсмотрела у подруги корзину на вайлдбериз и заказала одну из её покупок себе домой.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Универсальный — под разморозку, Легко мыть, Легко обрезать, Впитывает всё, Защита от бактерий",Теперь ммуж не гонит меня с кровати. Артикулом поделилась в описании!
3,Евгения,Коврик,428505148,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Моя знакомая работала на складе вайлдбериз, и когда уволилась, поделилась этой жуткой историей.","Однажды у них на складе начала проекать крыша, и едва не затопило все товары. Всех эвакуировали и менеджеры уже считали убытки, но вдруг она вспомнила, что недавно видела находку в одной из коробок в самом дальнем конце склада. Она прорвалась через охрану, прорвалась к той коробке и спасла склад. А теперь эта штука лежит у меня и в кухне, и в ванной, чтобы мои животные могли ходить по сухому полу, не разносить грязь и не боялись подскользнуться.","Далее проводим обзор коврика, раскрывая его ключевые преимущества","Под посуду, Не пропускает воду, Легко мыть, Под зубные щетки, Защита от бактерий и грибков",Артикулом делюсь в описании!
